PlotID,Replicate,Row,Column,GenotypeID,DaysToPollen,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,ExtantLeafNumber2,year2020,year2021,year2022,year2020_1
1368,1,14,4,B-18_INBR.FR.SUPERGOLD,69,,73,5.55,,,2.33,14.33,1,0,0,1
2677,2,55,5,B-18_INBR.FR.SUPERGOLD,69,2.38,75.25,6.35,162,14.5,3,16.33,1,0,0,0
1548,1,20,16,B-28,71,3.79,75.75,5.85,165,14.5,1.67,16,1,0,0,1
2431,2,46,11,B-28,73,4.09,75.25,5.8,163.5,14,1,15.33,1,0,0,0
1465,1,17,17,B10,77,5.05,94.5,9.2,215,17,1.67,18,1,0,0,1
2139,2,35,27,B10,79,5.39,93,8.75,187.5,16,1,15.33,1,0,0,0
1424,1,16,4,B101,77,3.81,79,9.3,176,14.5,1.33,16,1,0,0,1
2140,2,35,28,B101,80,4.73,77.25,8.75,202.5,15.5,1,18.33,1,0,0,0
1148,1,6,8,B104,76,5.49,88.5,7.85,161.5,14,1.33,17.33,1,0,0,1
2636,2,53,20,B104,75,3.62,88.5,7.95,155,14,1.67,15.67,1,0,0,0
1508,1,19,4,B105,71,,81.5,8.85,181.5,13,3,15,1,0,0,1
2382,2,44,18,B105,73,3.51,74.5,8.4,170,13.5,3,15.33,1,0,0,0
1074,1,3,18,B106,71,3.24,76.5,7.65,206,12.5,0.67,14,1,0,0,1
2620,2,53,4,B106,72,3.11,78.5,7.7,187.5,12.5,1,14.67,1,0,0,0
1476,1,17,28,B107,71,4.05,86,10,191,11.5,1.67,13.67,1,0,0,1
2035,2,32,7,B107,72,4.4,78.75,8.6,180,11.5,1,12.67,1,0,0,0
1379,1,14,15,B108,77,4.1,80.5,9.5,198.5,15.5,2.67,16.67,1,0,0,1
2656,2,54,12,B108,76,3.26,83,9,185,17,2.33,17,1,0,0,0
1440,1,16,20,B109,78,4.43,78,9.25,202.5,13.5,3,16,1,0,0,1
2163,2,36,23,B109,76,3.92,74.75,9.3,192,14,2,16.33,1,0,0,0
1672,1,24,28,B14,73,3.52,95.25,7.3,202.5,15,1.33,15.33,1,0,0,1
2533,2,50,1,B14,77,3.21,73.75,8,200,14,2,15.67,1,0,0,0
1297,1,11,17,B14A,73,3.53,91,7.7,182.5,14,0.67,16.33,1,0,0,1
2480,2,48,4,B14A,76,3.37,86.5,7.15,180,14,0.67,15,1,0,0,0
1328,1,12,20,B164,73,3.72,78.25,8,187.5,14,1.67,15,1,0,0,1
2343,2,43,7,B164,74,3.82,80.5,8,193.5,14.5,0.67,16,1,0,0,0
1684,1,25,12,B37,76,3.55,71.25,8.7,190,13,1.67,15.67,1,0,0,1
2604,2,52,16,B37,74,3.78,75.75,8.2,188.5,13,1.33,14.67,1,0,0,0
1546,1,20,14,B42,73,4.08,82.5,8.7,172.5,13,1,15.33,1,0,0,1
2465,2,47,17,B42,77,3.74,88.5,9.5,203,14.5,1.67,15.67,1,0,0,0
1653,1,24,9,B46,76,3.73,85.5,8.6,194.5,15,1.67,16.67,1,0,0,1
2201,2,38,5,B46,79,4.44,80,9.95,184,15,1.67,16.67,1,0,0,0
1532,1,19,28,B52,79,4.58,79.5,8.25,182.5,14,2.33,16,1,0,0,1
2290,2,41,10,B52,81,3.06,76.5,8.05,165.5,13.5,0.67,15.67,1,0,0,0
1125,1,5,13,B54,69,,63.25,6.85,167.5,12,1.67,13.67,1,0,0,1
2743,2,57,15,B54,75,,61,6.45,169,11.5,1.67,13,1,0,0,0
1436,1,16,16,B57,71,5.66,82.75,8,162,12,1.67,14.67,1,0,0,1
2344,2,43,8,B57,72,4.13,78.5,7.8,161.5,13,1,14,1,0,0,0
1130,1,5,18,B64,76,3.8,90.75,6.95,180,14.5,0.67,16.67,1,0,0,1
2459,2,47,11,B64,77,3.68,89,6.4,164,14,0.67,15.67,1,0,0,0
1646,1,24,2,B65,76,0,76.25,10.25,191.5,13.5,0.67,14.33,1,0,0,1
2783,2,58,27,B65,77,3,78.5,9.4,192.5,13.5,1.33,15.33,1,0,0,0
1685,1,25,13,B66,72,3.89,76.75,10.3,176.5,13.5,1.67,15,1,0,0,1
